가맹점관리,,,,
,,,,
,가맹점명,업종명,전화,가맹점주소
,김밥마을,한식,028319982,"서울 영등포구 대림로22길 33, 101호 （대림동）"
,김밥마을,한식,028488907,서울 영등포구 디지털로 405 （대림동）
,김밥마을한분식,한식,028429287,서울 영등포구 대림로34나길 1 1층 （대림동）
,김밥천국,한식,0226355009,"서울 영등포구 당산로 214 （당산동5가, 삼성래미안4차아파트）"
,김밥천국,한식,0226796681,서울 영등포구 국회대로53길 30 드림시드아파트 106호
,김밥천국,일반대중음식,028432003,"서울 영등포구 도림로 209, 104호 （신길동, 미성빌라）"
,김밥천국,일반대중음식,028478066,"서울 영등포구 도림로 150 （대림동, 미래산업빌딩）"
,까치네분식,한식,0226792266,서울 영등포구 양평로 51 1층
,당산역삼성파리바게뜨-배송비,제과점,0226728209,"서울 영등포구 당산로 214, 108동 1호 （당산동5가, 삼성래미안4차아파트）"
,덕수관,중식,028365621,서울 영등포구 도림1동 90-6번지
,동해루,중식,028419301,"서울 영등포구 신길로45길 1, 2층 （신길동）"
,뚜레쥬르（선유도역점）,제과점,0226314026,"서울 영등포구 양평로22길 4, 양문빌딩 （양평동4가）"
,뚜레쥬르대림우성점,제과점,028333020,"서울 영등포구 대림로 153, 1층 （대림동）"
,로티드뺑,제과점,0226361121,"서울 영등포구 국회대로53길 30, 1층 105호 （당산동, 드림시드아파트）"
,만다린,중식,0226340289,서울 영등포구 국회대로29길 16 （당산동4가）
,밥맛나는세상,한식,028488414,서울 영등포구 신길로 148 （신길동）
,뽕뜨락피자,패스트푸드,028479959,"서울 영등포구 시흥대로173길 13, 107 （대림동, 신대림자이）"
,새벽닭,일반대중음식,028337889,서울 영등포구 도림1동 76-24
,시온김밥,한식,028459667,"서울 영등포구 가마산로 356-1, 1층 （대림동, 세일빌딩）"
,아이지에이대림점,연쇄점,021331111,서울 영등포구 대림로31길 17 1층
,안동장,중식,028331837,"서울 영등포구 대림로34바길 15, 1층 （대림동）"
,안동장,중식,028327610,서울 영등포구 도신로 208 （신길동）
,얌샘,한식,028463379,"서울 영등포구 영신로19길 8-1, 지상 1층 （영등포동）"
,얌샘김밥,한식,028468627,"서울 영등포구 도신로 229-2, 우상가 1층 1 칸 （신길동）"
,원조옛날짜장왕돈까스,한식,028413600,"서울 영등포구 가마산로 386, 1층 （대림동, 금성빌딩）"
,유성용베이커리,제과점,026779330,서울 영등포구 당산로 132 （당산동3가）
,잇츠닭강정 （It´s닭강정）대림점,일반대중음식,021231111,서울 영등포구 도림천로21길 30 1층
,전설의옛날통닭,일반대중음식,028486250,"서울 영등포구 대방천로 165-13, 충 1 （신길동）"
,짜우리아,중식,028419389,서울 영등포구 영신로 34 （영등포동）
,태화루서울쟁반짜장,중식,028321412,"서울 영등포구 도림천로 387, 101 （대림동）"
,파리바게뜨,제과점,028484569,"서울 영등포구 시흥대로173길 13 신대림자이101동103호（객석）,107-1호（제빵실）"
,파리바게뜨,제과점,0226728209,서울 영등포구 당산동5가 42번지 삼성래미안4차아파트 108-1
,파리바게뜨 당산행복점,제과점,0220682510,서울 영등포구 국회대로 553 1층
,파리바게뜨 대림성모점,제과점,0288340031,서울 영등포구 시흥대로 663 1층
,파리바게뜨 대림역점,제과점,028432316,서울 영등포구 대림동 710-14
,파리바게뜨 도림사거리점,제과점,028310577,"서울 영등포구 도신로 86, 1층 （신길동）"
,파리바게뜨 사러가,제과점,028310518,서울 영등포구 신길로 155 （신길동）
,파리바게뜨 신길대신점,제과점,028366406,서울 영등포구 도신로60길 2 1층
,파리바게뜨 영등포대우,제과점,028478674,"서울 영등포구 영신로9라길 16, 1층 （영등포동, 영등포H빌딩）"
,파리바게뜨도림점,제과점,028480408,서울 영등포구 도영로 24 1층
,파리바게뜨신풍역점,제과점,028365552,"서울 영등포구 신길로 71, 1층 （신길동, 광명빌딩）"
,한솥,한식,028355441,서울 영등포구 시흥대로 649 （대림동）
,한솥 당산역점,한식,0226355600,"서울 영등포구 당산로 214, 삼성래미안상가 111-3호 （당산동5가）"
,홍콩반점,중식,0226347030,서울 영등포구 영중로20길 10-1 1층
,건대로데오파리바게뜨-배송비,제과점,024675383,서울 광진구 자양4동 7-32번지
,고운미소,일반대중음식,024654324,"서울 광진구 천호대로111길 14, 1층 （중곡동）"
,공감떡볶이,한식,024624662,서울 광진구 면목로 169 1층
,그린맘치킨 구의점,일반대중음식,024443902,서울 광진구 자양로 194 （구의동）
,금문,중식,024468622,서울 광진구 자양1동 626-5
,금용각,중식,024668833,서울 광진구 긴고랑로 106 1층
,김가네,한식,024475042,서울 광진구 자양동 679-28번지
,김가네김밥,한식,024681136,서울 광진구 능동로 373 （중곡동）
,김박사,한식,024630077,서울 광진구 군자로 140 1층
,김밥사랑,한식,024558881,서울 광진구 천호대로 659 （구의동）
,김밥사랑,한식,024612337,서울 광진구 노유1동 852-6번지 지상 1층
,김밥세상,일반대중음식,024972155,"서울 광진구 면목로 149, 1층 （중곡동）"
,김밥천국,한식,024536030,서울 광진구 자양로 242 （구의동）
,대봉숯불갈비,한식,024479999,"서울 광진구 능동로36길 32, 1층 （능동）"
,대중관,중식,024535356,"서울 광진구 용마산로 114, 1층 103호 104호 （중곡동, 경동빌딩）"
,동성관,중식,024543544,"서울 광진구 뚝섬로52가길 3, 1층 （자양동）"
,동화각,중식,024447474,서울 광진구 광장동 145-8 워커힐상가
,떡순이,한식,024575620,"서울 광진구 자양로28길 21, 1층 103호 （구의동）"
,뚜레쥬르군자역점,제과점,024553878,서울 광진구 능동로 302 （능동）
,뚜레쥬르자양성자3점,제과점,024558204,서울 광진구 뚝섬로 657 뚜레쥬르자양성자3점 （자양동）
,뚜레쥬르중곡신성점,제과점,024444744,서울 광진구 용마산로 58 （중곡동）
,띠아몽베이커리,제과점,024674612,서울 광진구 군자로 108 （군자동）
,롯데리아 건대스타시티,패스트푸드,027471032,서울 광진구 자양3동 227-7번지 건대스타시티 지하1층
,롯데리아 건대역,패스트푸드,0222184550,서울 광진구 화양동 4-20번지 21번지
,롯데리아롯데마트강변점,패스트푸드,0234242567,"서울 광진구 광나루로56길 85, B2층 （구의동, 테크노마트）"
,맘식빵,일반대중음식,024470762,"서울 광진구 용마산로 52, 1층 （중곡동）"
,명동분식,한식,024528792,서울 광진구 자양로13나길 17 （자양동）
,명하,일반대중음식,024527261,서울 광진구 광나루로36길 67 （구의동）
,박리김밥,한식,024464342,서울 광진구 뚝섬로56길 14-1 （자양동）
,박리다매,일반대중음식,024533779,서울 광진구 자양로15길 59 （자양동）
,백합베이커리,제과점,024475911,서울 광진구 천호대로 576 （능동）
,별난밥집,한식,024552868,서울 광진구 광나루로52길 114 1층 3호
,복만루,중식,024561778,서울 광진구 아차산로 352 1층
,본죽（구의시장점）,한식,024536288,"서울 광진구 광나루로 532, 104호 （구의동）"
,본죽（중곡점）,한식,024646288,"서울 광진구 면목로 133, 1층 （중곡동）"
,봉구스밥버거,한식,024558809,서울 광진구 뚝섬로 541 （자양동）
,뿅뿅주먹밥&김밥,한식,024530053,"서울 광진구 용마산로3길 98, 1층 （중곡동）"
,뿅뿅주먹밥앤김밥,일반대중음식,024538989,서울 광진구 자양로 134 1층 구의동
,사천왕,중식,024583246,"서울 광진구 아차산로51길 8, 1층 （구의동, 삼원빌딩）"
,소풍,양식,0222017817,"서울 광진구 자양로5길 14, 1층 （자양동）"
,신중국관,중식,024444700,서울 광진구 자양로 202 （구의동）
,애래향,중식,024996607,"서울 광진구 동일로76길 58, 1층 （중곡동）"
,열린밥상,한식,024522988,"서울 광진구 자양로 247, 1층 （구의동, 고광빌딩）"
,영성각,중식,024528365,서울 광진구 자양로 235 （구의동）
,영화속의김밥이야기,일반대중음식,024445005,서울 광진구 자양로 173 （구의동）
,옛날짜장,중식,024636441,서울 광진구 긴고랑로9길 41 1층
,요리왕,중식,0234094421,"서울 광진구 긴고랑로13길 66, 1층 연리지 101호 （중곡동）"
,우마루,한식,0222014845,"서울 광진구 자양로13길 4-1, 1층 （자양동）"
,원짜장,중식,024641298,서울 광진구 동일로72길 30 （중곡동）
,윤스부엌（윤´s부엌）,한식,024744742,"서울 광진구 용마산로3길 95, 1층 （중곡동）"
,이모네식당,한식,024562373,서울 광진구 뚝섬로 590 1층（자양동）
,이삭,일반대중음식,024478266,서울 광진구 자양로3길 59 （자양동）
,이삭,일반대중음식,024611116,"서울 광진구 면목로 170,1층（중곡동）"
,이삭토스트,일반대중음식,024655949,서울 광진구 노유1동 8-22번지
,이삭토스트 자양사거리점,일반대중음식,0260130660,서울 광진구 자양로 93 1층
,장우연의 라이스볼 중곡점,한식,07075453577,"서울 광진구 용마산로8길 86, 1층 （중곡동）"
,중국성,중식,024553346,서울 광진구 자양번영로3길 38 1층
,챨스 맘 푸드,한식,0260847442,서울 광진구 능동로51길 27 1층（중곡동）
,캠토,일반대중음식,024524165,"서울 광진구 자양로26길 31, 103호 （구의동）"
,코소코소 （아차산역점）,일반대중음식,07078080602,"서울 광진구 천호대로 666,B층 101호"
,코스모스,한식,0222014307,"서울 광진구 자양로28길 18-1, 1층 （구의동）"
,크레파스,한식,024547179,"서울 광진구 자양로28길 22, 1층 （구의동）"
,파리바게뜨,제과점,024675383,서울 광진구 아차산로30길 3 （자양동）
,파리바게뜨 화양시장점,제과점,024626388,"서울 광진구 군자로 70, 1층 112호 113호 （군자동）"
,파리바게뜨（광진구청점）,제과점,0234377707,서울 광진구 자양로 124 （구의동）
,파리바게뜨（대공원점）,제과점,024449963,"서울 광진구 천호대로 659, 1층 （구의동）"
,피자스쿨 군자역점,일반대중음식,024448210,"서울 광진구 천호대로111길 24, 1층 （중곡동）"
,한솥,일반대중음식,024531253,서울 광진구 자양로 205 （구의동）
,한솥,일반대중음식,024613044,서울 광진구 군자동 149-12번지 1층
,한솥,한식,024523557,"서울 광진구 자양로 134, 1층 일부 （구의동）"
,한솥도시락자양고점,한식,024551150,서울 광진구 자양3동 553-41우성5차APT상가1층104호
,행복이가득한집,일반대중음식,024565139,서울 광진구 광나루로36길 67 （구의동）
,향원,중식,024581314,서울 광진구 뚝섬로58길 11 （자양동 2층）
,호화퓨전,일반대중음식,024470326,"서울 광진구 용마산로22길 13, 2층 （중곡동）"
,국수나무창신점,한식,027479340,서울 종로구 지봉로 81 104호
,김밥천국,한식,027354146,"서울 종로구 통일로 262, 1층 （무악동）"
,꾸스꾸스,양식,0263575762,서울 종로구 자하문로5길 16-2 （체부동）
,나주식당,한식,027650509,서울 종로구 지봉로14길 8-1 지상1층
,뚜레쥬르 창신점,제과점,027645638,서울 종로구 지봉로 91-1 （창신동）
,롯데리아 혜화,양식,027411956,"서울 종로구 창경궁로 273, 2층 1 （혜화동）"
,룰스 （rules）,양식,0265564814,서울 종로구 자하문로5길 17 1층
,맛밥김밥전문점,한식,027475425,서울 종로구 창경궁로 269 （혜화동）
,멘야산다이메,한식,027434129,"서울 종로구 창경궁로26길 38-2, 1층 （명륜4가）"
,본죽 동묘앞역점,한식,027426288,"서울 종로구 지봉로 52-1, 1층 （숭인동）"
,봄까스,한식,027410110,서울 종로구 성균관로 25-9 （명륜2가）
,샌드위치아일랜드,일반대중음식,07088662384,서울 종로구 필운대로1길 3 1층
,서촌명가,한식,027395621,"서울 종로구 자하문로 112, 지하1층 （청운동）"
,스윗밸런스 광화문점,양식,027333225,서울 종로구 종로1길 50 지하1층
,신현무관,중식,027208288,"서울 종로구 통일로 184-4, 1층 （교북동）"
,싸움의 고수,한식,07040384730,서울 종로구 성균관로5길 17 1층 （명륜2가）
,아빠곰탕（경복궁역점）,한식,027352535,서울 종로구 자하문로 42-1 （창성동）
,연경,중식,027651122,서울 종로구 동숭길 39 （동숭동）
,이명근떡볶이,한식,027632570,서울 종로구 명륜길 40-1 1층（명륜3가）
,주식회사 파리바게뜨 경복궁,제과점,027356158,"서울 종로구 자하문로 5, 1층 （체부동, 우양빌딩）"
,파리바게뜨 동묘역점,제과점,027664496,서울 종로구 지봉로 43 （창신동）
,파리바게뜨 성대명륜점,제과점,027423376,"서울 종로구 명륜길 1, 1층 （명륜3가）"
,파리바게뜨（청와대점）,제과점,027348870,"서울 종로구 자하문로 85, 1층 （신교동）"
